,Job Title,Job Company,Job Location,Company Rating,Company Rating Numbers,Company Size,Company Founded,Company Type,Company Industry,Company Sector,Company Revenue,Level,Minimum,Maximum,Currency,Category,Company ,Role
71,"Staff Software Engineer, Machine Learning - Search",Discord,"San Francisco, CA",4.6,62,51 to 200 Employees,2015,Company - Private,Internet,Information Technology,$1 to $5 million (USD),Normal,119000.0,246000.0,USD,Data Science,,Machine Learning
72,"Data Scientist, Analytics - Customer Experience",Twitch,"San Francisco, CA",3.9,229,1001 to 5000 Employees,2011,Subsidiary or Business Segment,Internet,Information Technology,Unknown / Non-Applicable,Normal,99000.0,196000.0,USD,Data Science,,Data Analyst
73,Machine Learning Engineer,Salesforce,"San Francisco, CA",4.4,3514,10000+ Employees,1999,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),Normal,82000.0,82000.0,USD,Data Science,,Machine Learning
74,Data Scientist IV Advanced Analytics,Kaiser Permanente,"Oakland, CA",4.0,1050,10000+ Employees,1945,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$10+ billion (USD),Normal,84000.0,136000.0,USD,Data Science,,Data Analyst
75,Head of Messaging & Experience Data Science,Discord,"San Francisco, CA",4.6,62,51 to 200 Employees,2015,Company - Private,Internet,Information Technology,$1 to $5 million (USD),Normal,83000.0,193000.0,USD,Data Science,,Data Science
76,Data Scientist,Camus Energy,"San Francisco, CA",4.0,0,Unknown,0,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,Normal,80000.0,162000.0,USD,Data Science,,Data Science
77,"Staff Data Scientist, Virtual HQ - Slack",Salesforce,"San Francisco, CA",4.4,3514,10000+ Employees,1999,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),Normal,142000.0,142000.0,USD,Data Science,,Data Science
78,Genomics Staff Data Scientist,Lawrence Berkeley National Laboratory,"San Francisco, CA",4.4,142,1001 to 5000 Employees,1931,Government,Research & Development,Business Services,$500 million to $1 billion (USD),Normal,94000.0,170000.0,USD,Data Science,,Data Science
79,Senior Data Science Manager - Internal Platforms Science,Indeed,"San Francisco, CA",4.3,703,10000+ Employees,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD),Senior,179000.0,259000.0,USD,Data Science,,Data Science
80,"Software Engineer II, Machine Learning",Uber,"San Francisco, CA",4.0,3142,10000+ Employees,2009,Company - Public,Internet,Information Technology,$10+ billion (USD),Normal,98000.0,198000.0,USD,Data Science,,Machine Learning
81,Senior Machine Learning Engineer,Uber,"San Francisco, CA",4.0,3142,10000+ Employees,2009,Company - Public,Internet,Information Technology,$10+ billion (USD),Senior,107000.0,198000.0,USD,Data Science,,Machine Learning
82,Data Scientist,TEKsystems,"Martinez, CA",4.0,1812,1001 to 5000 Employees,1983,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD),Normal,166400.0,166400.0,USD,Data Science,,Data Science
83,"Postdoctoral Scholar - Data Science Program, School of Information",Excelon Associates,"Berkeley, CA",4.8,1,1 to 50 Employees,2007,Company - Private,Staffing & Outsourcing,Business Services,Less than $1 million (USD),Normal,60000.0,65000.0,USD,Data Science,,Data Science
84,Director of Data Science,Harnham,"San Francisco, CA",4.0,19,51 to 200 Employees,2006,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),Normal,180000.0,220000.0,USD,Data Science,,Data Science
85,Data Engineer,Harnham,"San Francisco, CA",4.0,19,51 to 200 Employees,2006,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),Normal,160000.0,190000.0,USD,Data Science,,Data Engineer
86,"Co-op - Development Sciences, Informatics - Data Analytics",Genentech,"San Francisco, CA",4.2,296,10000+ Employees,1976,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),Normal,98000.0,197000.0,USD,Data Science,,Data Analyst
